market_constraint,dayzer_constraint,pano_constraint
YUKON TRAN 4 XFORMER H 500 KV | 500/138.YUKON.T1 (SCTNLZ),CABOT_500 KV_TRAN 4:500/138.Cabot.T1 (Sctnlz),YUKON    TRAN  4  XFORMER   H  500 KV | 500/138.Yukon.T1 & T3 (Sctnlz F)
COOP_EK 161 KV  COO-ELIH | ACTUAL,COOP_EK_161 KV_COO-ELIH:ACTUAL,ELIHU 161KV - COOP_EK 161KV (COOP_EK 161 KV COO-ELIH) | BASE
YUKON TRAN 4 XFORMER H 500 KV | L500.HATFIELD-RHODESLANE.517,YUKON_500 KV_TRAN 6:L500.RhodesLane-Yukon.518,YUKON    TRAN  4  XFORMER   H  500 KV | L500.Hatfield-RhodesLane.517
REDLION 230 KV  RED-SIL1 | L230.REDLION-SILVERRUN.2,REDLION_230 KV_RED-SIL1:L230.RedLion-SilverRun.2,REDLION 230KV - SILVERUN 230KV (REDLION 230 KV RED-SIL1) | L230.RedLion-SilverRun.2
EMILIE 230 KV EMILIE EMIL7TR XFORMER | L230.EMILIE-EDDINGTON-CROYDON,EMILIE_230 KV_EMIL7TR:L230.Emilie-Eddington-Croydon,EMILIE  230 KV  EMIL7TR | Emilie-Eddington-Croydon 230 kV line
BUTLER  69 KV   BUT-VIN | L69.MONROE-VINELAND.0711,BUTLER_69 KV_BUT-VIN:L69.Monroe-Vineland.0711,BUTLER 69KV - VINELAND 69KV (BUTLER 69 KV BUT-VIN) | L69.Monroe-Vineland.0711
ENTRPRIS230 KV  2186A | L230.PLEASNTVIEW-EDWARDSFERRY-DICKERSON.23111/203A,ENTRPRIS_230 KV_2186A:L230.PleasntView-EdwardsFerry-Dickerson.23111/203A,SHELHORN 230KV - ENTRPRIS 230KV (ENTRPRIS 230 KV 2186A) | L230.PleasntView-EdwardsFerry-Dickerson.23111/203A
VIENNA 138 KV VIENNA 8110 CB | L230.CEDARCREEK-SILVERRUN.23030,VIENNA_230 KV_AT20:L230.CedarCreek-SilverRun.23030,VIENNA 138KV - LORETTO 138KV (LORETTO 138 KV LOR-VIE) | L230.CedarCreek-SilverRun.23030
ETOWANDA_230KVETO-HIL_1_LN | L500.HOPATCONG-LACKAWANNA.5063,ETOWANDA_230 KV_ETO-HIL:L500.Hopatcong-Lackawanna.5063,ETOWANDA 230KV - HILLSIDE 230KV (ETOWANDA 230 KV ETO-HIL) | L500.Hopatcong-Lackawanna.5063
ARSENAL 345 KV ARSENAL -BRUNOTIS ARS-BRU1 | ACTUAL,ARSENAL_345 KV_ARS-BRU1:ACTUAL,BRUNOTIS 345KV - ARSENAL 345KV (ARSENAL 345 KV ARS-BRU1) | BASE
OAKGREEN 115 KV OAKGREEN-MITCHLDP 2A | L500.MORRISVILLE-SPOTSYLVANIA.594,OAKGREEN_115 KV_2A:L500.Morrisville-Spotsylvania.594,OAKGREEN 115KV - MITCHLDP 115KV (OAKGREEN 115 KV 2A) | L500.Morrisville-Spotsylvania.594
OREGONDP115 KV  ORE-PEA | ACTUAL,OREGONDP_115 KV_ORE-PEA:ACTUAL,
ETOWANDA-NMESHOPP ETL 1057 B 115 KV | L230.ETOWANDA-HILLSIDE.2002 [NYISO],ETOWANDA_115 KV_ETO-GAS:L230.ETowanda-Hillside.2002 [NYISO],ETOWANDA 115KV - NMESHOPP 115KV (ETOWANDA 115 KV ETO-NME) | L230.ETowanda-Hillside.2002 [NYISO]
ALTAVSTA 138 KV ALTAVSTA TX4 XFORMER | L500.CARSON-ROGERSROAD.585,ALTAVSTA_138 KV_TX4:L500.Carson-RogersRoad.585,ALTAVSTA 115KV - ALTAVSTA 138KV (ALTAVSTA 138 KV TX4) | L500.Carson-RogersRoad.585
CUMB PL 230 KV  2 | L230.WILLIAMSGROVE-CUMBERLAND+230/69.CMBRLND.T1,CUMB PL_230 KV_2:L230.WilliamsGrove-Cumberland+230/69.Cmbrlnd.T1,CUMB PL 230KV - CUMB PL 69KV (CUMB PL 230 KV 2) | L230.WilliamsGrove-Cumberland+230/69.Cmbrlnd.T1
TERMINAL 345 KV TERMINAL 11 XFORMER | L345.TERMINAL-PORTUNION.4513,TERMINAL_345 KV_11:L345.Terminal-PortUnion.4513,TERMINAL 345KV - TERMINAL 138KV (TERMINAL 345 KV 11) | L345.Terminal-PortUnion.4513
TODD HUNTER 15 345/138 KV L/O TODD HUNTER 16 345/138 | 345/138.TODHUNTER.T16,,Todd Hunter 345/138 17 l/o Todd Hunter 345/138 15 | TODHUNTER  BK 15 TRANSFORMER
JUNIATA 2 XFORMER H 500 KV | ACTUAL,JUNIATA_500 KV_2:ACTUAL,JUNIATA  1        XFORMER   H  500 KV | BASE
ALLLUD4J 138 KV ALLLUD4J-ALLDAM6 ALJ-ALL | L345.ERIESOUTH-ERIEWEST.3001,ALLLUD4J_138 KV_ALJ-ALL:L345.ErieSouth-ErieWest.3001,ALLLUD4J 138KV - ALLDAM6 138KV (ALLLUD4J 138 KV ALJ-ALL) | L345.ErieSouth-ErieWest.3001
CHURCH 69 KV CHURCH-NEWMERED 6704-1 | L230.CARTANZA-SILVERRUN.23032,CHURCH_69 KV_CHU-NME:L230.Cartanza-SilverRun.23032,CHURCH 69KV - NEWMERED 69KV (CHURCH 69 KV CHU-NME) | L230.Cartanza-SilverRun.23032
HOWARD2 138 KV  HOW-MEL1 | L345.EASTLIMA-FOSTORIACENTRAL,HOWARD2_138 KV_HOW-MEL1:L345.EastLima-FostoriaCentral,MELMORE 138KV - HOWARD2 138KV (HOWARD2 138 KV HOW-MEL1) | L345.EastLima-FostoriaCentral
HOMERCIT_230KVHOM-SHE_1_LN | L500.CONEMAUGH-KEYSTONE.5003,HOMERCIT_230 KV_HOM-SHE:L500.Conemaugh-Keystone.5003,SHELOCTA 230KV - HOMERCIT 230KV (HOMERCIT 230 KV HOM-SHE) | L500.Conemaugh-Keystone.5003
APSOUTH CONTINGENCY 56 | BELMONT.STONEWALL.CC,BED-BLA contingency 57 Belmont.Stonewall.CC,
3ROCKY 115 KV 3ROCKY -BATTLEBO 123A | L230.CHINQUAPIN-EVERETTS.2160,3ROCKY_115 KV_123A:L230.Chinquapin-Everetts.2160,3ROCKY 115KV - BATTLEBO 115KV (3ROCKY 115 KV 123A) | L230.Chinquapin-Everetts.2160
ATHENIA-KULLERRD J-1362 B 138 KV | ACTUAL,ATHENIA_138 KV_ATH-ERU:ACTUAL,
155 NELS345 KV  TR81CT-P | 345/138.155NELSON.TR82,155 NELS_345 KV_TR81CT-P:345/138.155Nelson.TR82,155 NELS 345KV - 155 NELS 1KV (155 NELS 345 KV TR81CT-P) | 345/138.155Nelson.TR82
LINWOOD2138 KV  LIN-MAK | ACTUAL,LINWOOD2_138 KV_LIN-MAK:ACTUAL,
AEP-DOM | L500.502JUNCTION-MTSTORM (TRAIL),FROSTBU1_138 KV_FRO-RID:L500.502Junction-MtStorm (TRAIL),AEP-DOM contingency 11 | L500.502Junction-MtStorm (TRAIL)
LOUDOUN4 500 KV LOUDOUN4 TX1 XFORMER | L500.LOUDOUN-MOSBY.584A,LOUDOUN4_500 KV_TX1:L500.Loudoun-Mosby.584A,LOUDOUN4 500KV - MOSBY 500KV (LOUDOUN4 500 KV 502A) | L500.Loudoun-Mosby.584A
BRUNNERI 230 KV BRUNNERI-MIDDLJCT #1 1056 | 500/230.CONASTONE.500-4,BRUNNERI 230-MIDDLJCT 230,MIDDLJCT 230KV - BRUNNERI 230KV (BRUNNERI 230 KV BRU-MID6) | 500/230.Conastone.500-4
PLEASNTV TX3 XFORMER L 230 KV | L500.BRAMBLETON-GOOSECREEK.558,PLEASNTV_230 KV_274D:L500.Brambleton-GooseCreek.558,PLEASNTV 500KV - PLEASNTV 230KV (PLEASNTV 500 KV TX3) | L500.Brambleton-GooseCreek.558
CARL PN-ROXBURY KRG 1049 B 115 KV | L115.MIDDLETOWNJCT-COLLINS.975 (SCTNLZ),CARL PN_115 KV_CAR-GAR:L115.MiddletownJct-Collins.975 (Sctnlz),CARL PN-ROXBURY KRG 1049    B  115 KV | L115.MiddletownJct-Collins (Sctnlz)
STEELCTY_T5_500TR1_XF | L500.HOSENSACK-STEELCITY.5032,STEELCTY_500 KV_TR1:L500.Hosensack-Steel City.5032,STEELCTY 500KV - STEELCTY 230KV (STEELCTY 500 KV TR1) | L500.Hosensack-SteelCity.5032
4_QUAD_C_T4_345TR118_XF | ACTUAL,,
BAGLEY  230 KV  BAG-GRAC | 500/230.WAUGHCHAPEL.500-1,BAGLEY_230 KV_BAG-GRAC:500/230.WaughChapel.500-1,GRACETON 230KV - BAGLEY 230KV (BAGLEY 230 KV BAG-GRAC) | 500/230.WaughChapel.500-1
MADDOXCR345 KV  ELI-MAD | ACTUAL,MADDOXCR_345 KV_ELI-MAD:ACTUAL,
EDISON2 138 KV  EDI-GRA | ACTUAL,EDISON2_138 KV_EDI-OLI1:ACTUAL,EDISON2 138 KV  EDI-GRA | BASE
08LAPLJT138 KV  08L-SAN1 | L765.MARYSVILLE-SORENSON,08LAPLJT_138 KV_08L-SAN1:L765.Marysville-Sorenson,08LAPLJT 138KV - SANDERSO 138KV (08LAPLJT 138 KV 08L-SAN1) | L765.Marysville-Sorenson
SHAWVILL4.1 KV  BNK 14-T | ACTUAL,SHAWVILL_4.1 KV_BNK 14-T:ACTUAL,
ATHENIA 230 KV  ATH-BERA | L230.BERGEN-SADDLEBROOK.C-2334,ATHENIA_230 KV_ATH-BERA:L230.Bergen-Saddlebrook.C-2334,ATHENIA 230KV - BERGEN 230KV (ATHENIA 230 KV ATH-BERA) | L230.Bergen-Saddlebrook.C-2334
NELSON 138 KV NELSON-VIENNA 13707 | ACTUAL,VIENNA_138 KV_AT2:ACTUAL,
FRENCHSM 138 KV FRENCHSM-JUNCTION JST1 | L500.BEDINGTON-BLACKOAK,FRENCHSM_138 KV_FRE-JUN:L500.Bedington-Black Oak,JUNCTION 138KV - FRENCHSM 138KV (FRENCHSM 138 KV FRE-JUN) | L500.Bedington-BlackOak
BIGPINET138 KV  BIG-KIS | 345/138.ASHTABULA.TR4,BIGPINET_138 KV_BIG-KIS:345/138.Ashtabula.TR4,KISKIVAL 138KV - BIGPINET 138KV (BIGPINET 138 KV BIG-KIS) | 345/138.Ashtabula.TR4
AEP-DOM CONTINGENCY 55 | L500.GREENSVILLE-ROGERSROAD.596 + GREENSVILLE.CC,AEP-DOM Interface:L500.Greensville-RogersRoad.596 + Greensville.CC,AEP-DOM contingency 55 | L500.Greensville-RogersRoad.596 + Greensville.CC
HALLWOOD 69 KV HALLWOOD-OAKHALL 6790-1 | L69.OAKHALL-PERDUE-TASLEY.6778,HALLWOOD_69 KV_HAL-OAK:L69.OakHall-Perdue-Tasley.6778,OAKHALL 69KV - HALLWOOD 69KV (HALLWOOD 69 KV HAL-OAK) | L69.OakHall-Perdue-Tasley.6778
HARWOOD 230 KV HARWOOD-SUSQUEHA | L500.SUSQUEHANNA-WESCOSVILLE.5043,HARWOOD_230 KV_HAR-SUS:L500.Susquehanna-Wescosville.5043,SUSQUEHA 230KV - HARWOOD 230KV (HARWOOD 230 KV HAR-SUS) | L500.Susquehanna-Wescosville.5043
RICHMOND138 KV  RIC-SEL1 | L765.MARYSVILLE-SORENSON,RICHMOND_138 KV_RIC-SEL1:L765.Marysville-Sorenson,SELMAPAR 138KV - RICHMOND 138KV (RICHMOND 138 KV RIC-SEL1) | L765.Marysville-Sorenson
NMESHOPP 230 KV NMESHOPP 4TX 230 CB CB | ACTUAL,NMESHOPP_230 KV_NME-OXB:ACTUAL,
REMNTNCT230 KV  299A | L500.LOUDOUN-MORRISVILLE.569,REMNTNCT_230 KV_299A:L500.Loudoun-Morrisville.569,MARSHRUN 230KV - REMNTNCT 230KV (REMNTNCT 230 KV 299A) | L500.Loudoun-Morrisville.569
GRACETON 230 KV GRACETON-SAFEHARB 2303 | L230.OTTERCREEK-CONASTONE.2302,SAFEHARB_230 KV_2302:ACTUAL,GRACETON-SAFEHARB 2303      A  230 KV | Conastone-Graceton 230kv
BLAIRSVE138 KV  BLA-SOC | L500.CABOT-KEYSTONE.5002,BLAIRSVE_138 KV_BLA-SOC:L500.Cabot-Keystone.5002,BLAIRSVE138 KV  NO.1 TX | L500.Cabot-Keystone.5002
NMESHOPP #3 TX    XFORMER   H  230 KV | L500.HOPATCONG-LACKAWANNA.5063,NMESHOPP_230 KV_#3 TX:L500.Hopatcong-Lackawanna.5063,NMESHOPP 230KV - NMESHOPP 115KV (NMESHOPP 230 KV #3 TX) | L500.Hopatcong-Lackawanna.5063
FARMVIEW138 KV  FRM-MIL | 230/138.CEDARCREEK.AT20,FARMVIEW_138 KV_FRM-MIL:230/138.CedarCreek.AT20,MILFORD 138KV - FARMVIEW 138KV (FARMVIEW 138 KV FRM-MIL) | 230/138.CedarCreek.AT20
0703 138 KV 0703 3 | ACTUAL,0703_138 KV_0703 3:ACTUAL,0703    138 KV  0703 3 | BASE
ATHENIA 138 KV ATHENIA-FAIRLAWN I-1361 | ACTUAL,FAIRLAWN_138 KV_132-1T:ACTUAL,ATHENIA-FAIRLAWN I-1361     B  138 KV | BASE
NEWCARLI138 KV  NEW-PLE | L765.DUMONT-SORENSON,NEWCARLI_138 KV_NEW-PLE:L765.Dumont-Sorenson,NEWCARLI138 KV  NEW-MAP2 | L765.Dumont-Wilton Center.11215
HANOVER_69KVHAN-PAR_1_LN | ACTUAL,HANOVER_69 KV_HAN-PAR:ACTUAL,
VINELAND69 KV   0712 | L69.MONROE-VINELAND.0711,VINELAND_69 KV_0712:L69.Monroe-Vineland.0711,VINELAND69 KV   0712 | L69.Monroe-Vineland.0711
DOEX530 345 KV  DOE-PIE2 | ACTUAL,DOEX530_345 KV_DOE-PIE2:ACTUAL,PIERCE 345KV - DOEX530 345KV (DOEX530 345 KV DOE-PIE2) | L765.HangingRock-Jefferson
LAKEGEO - TOWERRD 138 KV L/O MICHCITY-BABCOCK 345 KV | L345.BABCOCK-MICHIGANCITY (NIPS),LAKEGEOR_138 KV_LAK-TOW1:L345.Babcock-MichiganCity (NIPS),LAKEGEOR 138KV - TOWERRD 138KV (LAKEGEOR 138 KV LAK-TOW1) | L345.Babcock-MichiganCity (NIPS)
LOGTOWN 138 KV  LOG-NDEL | 138/69.HAVILAND.T4,LOGTOWN_138 KV_LOG-NDEL:138/69.Haviland.T4,LOGTOWN 138KV - NDELPHOS 138KV (LOGTOWN 138 KV LOG-NDEL) | 138/69.Haviland.T4
BIGPINET138 KV  BIG-GAR | L345.ARMSTRONG-HOMERCITY,BIGPINET_138 KV_BIG-GAR:L345.Armstrong-HomerCity,BIGPINET 138KV - GARRNJCT 138KV (BIGPINET 138 KV BIG-GAR) | L345.Armstrong-HomerCity
COOLSPRI69 KV   COL-HAR | L230.INDIANRIVER-MILFORD.23034,COOLSPRI_69 KV_COL-HAR:L230.IndianRiver-Milford.23034,COOLSPRI 69KV - HARBESON 69KV (COOLSPRI 69 KV COL-HAR) | L230.IndianRiver-Milford.23034
DAUPHIN 230 KV DAUPHIN-JUNIATA 1087 | 500/230.JUNIATA.T1,DAUPHIN_230 KV_DAU-JUN:500/230.Juniata.T1,JUNIATA 230KV - DAUPHIN 230KV (DAUPHIN 230 KV DAU-JUN) | 500/230.TMI.T1
HAYES_FE345 KV  TR1 | L345.BEAVER-HAYES,HAYES_FE_345 KV_TR1:L345.Beaver-Hayes,HAYES_FE345 KV  TR1 | BASE
EWATERVT138 KV  EAS-HAR | ACTUAL,EWATERVT_138 KV_EAS-HAR:ACTUAL,
CROZET 230 KV CROZET -DOOMS4 291A | L500.ELMONT-CUNNINGHAM.553,CROZET_230 KV_291A:L500.Elmont-Cunningham.553,DOOMS4 230KV - CROZET 230KV (CROZET 230 KV 291A) | L500.Elmont-Cunningham.553
BRANDONS 230 KV BRANDONS-WAUGHCHA 2342 | L230.GRACETON-BAGLEY-RAPHAELROAD.2313,BRANDONS_230 KV_BRA-WAU2:L230.Graceton-Bagley-RaphaelRoad.2313,WAUGHCHA 230KV - BRANDONS 230KV (BRANDONS 230 KV BRA-WAU2) | L230.Graceton-Bagley-RaphaelRoad.2313
PIERCE  345 KV  PIE-DEA1 | L345.EASTBEND-TERMINAL,PIERCE_345 KV_PIE-DEA1:L345.EastBend-Terminal,DEARBORN 345KV - PIERCE 345KV (PIERCE 345 KV PIE-DEA1) | L345.EastBend-Terminal
OX4 500 KV OX4 TX1 XFORMER | L500.LADYSMITH-POSSUM POINT.568,OX4_500 KV_TX1:L500.Ladysmith-Possum Point.568,OX4 500KV - OX4 230KV (OX4 500 KV TX1) | L500.Ladysmith-Possum Point.568
155 NELS345 KV  TR81CT-P | L345.NELSON-ELECTRICJUNCTION.15502,155 NELS_345 KV_TR81CT-P:L345.Nelson-ElectricJunction.15502,155 NELS345 KV  TR82CT-P | L345.Nelson-Electric Junction.15502
FOX_HOLL161 KV  TR1 | ACTUAL,FOX_HOLL_161 KV_TR1:ACTUAL,FOX_HOLL161 KV  TR1 | BASE
DEEPCRK 115 KV DEEPCRK-GARRETAP SDC 1059 | ACTUAL,GARRETAP_115 KV_GAR-GAR:ACTUAL,
OLIVE   138 KV  2-S | ACTUAL,OLIVE_138 KV_2-S:ACTUAL,OLIVE 138KV - OLIVE 1KV (OLIVE 138 KV 2-S) | L345.Cook-Olive
155 NELS 345 KV 155 NELS TR81CT-P XFORMER | 345/138.155NELSON.TR82,155 NELS_345 KV_TR81CT-P:345/138.155Nelson.TR82,155 NELS 345KV - 155 NELS 1KV (155 NELS 345 KV TR81CT-P) | 345/138.155Nelson.TR82
CHESWICK138 KV  CHE-SPR | L138.CRESCENT-NORTH.Z-21,CHESWICK_138 KV_CHE-SPR:L138.Crescent-North.Z-21,SPRINGDA 138KV - CHESWICK 138KV (CHESWICK 138 KV CHE-SPR) | L138.Crescent-North.Z-21
DOEX530_T1_345208T_XF | ACTUAL,,
SHERWOOD-TRANSCO 91C B 115 KV | L500.DOOMS-CUNNINGHAM.534,SHERWOOD_115 KV_91C:L500.Dooms-Cunningham.534,TRANSCO 115KV - SHERWOOD 115KV (SHERWOOD 115 KV 91C) | L500.Dooms-Cunningham.534
NOTTINGH 230 KV NOTTINGHM 1-3 SER DEV | L500.PEACHBOTTOM.BUSTIE.2,NOTTINGH_230 KV_2-3:L500.PeachBottom.BusTie.1,NOTTINGHM 2-3 SER DEV       A  230 KV | L500.PeachBottom.BusTie.1
COLLIER 345 KV COLLIER T2 XFORMER | 345/138.COLLIER.T1,COLLIER_345 KV_T1:345/138.Collier.T2,COLLIER  T2       XFORMER   H  345 KV | 345/138.Collier.T1
MICHIGAN CITY-TRAIL CREEK 138 L/O MICHIGAN CITY-BOSSERMAN 138 FG | L138.BOSSERMAN-MICHIGANCITY,,Michigan City-Trail Creek 138 l/o Michigan City-Bosserman 138 | L138.Bosserman-MichiganCity
116 GOOD345 KV 11620 | 345L11622 GOODINGS GROVE-ELWOOD 345 KV LINE,116 GOOD_345 KV_11620:345L11622 Goodings Grove-Elwood 345 kV Line,900 ELWO 345KV - 116 GOOD 345KV (116 GOOD 345 KV 11620) | 345L11622 Goodings Grove-Elwood 345 kV Line
CONC BC 115 KV  CON-MON | L500.BRIGHTON-CONASTONE.5011,CONC BC_115 KV_CON-MON:L500.Brighton-Conastone.5011,MONUMEST 115KV - CONC BC 115KV (CONC BC 115 KV CON-MON) | L500.Brighton-Conastone.5011
CONASTON 230 KV CONASTON-NORTHWES 2322 | ACTUAL,CONASTON_230 KV_CNS-GRA:ACTUAL,CONASTON-NORTHWES 2322      A   230 KV | L230.Conastone-Northwest.2310
3ROCKY 115 KV 3ROCKY -BATTLEBO 123A | L500.BRUNSWICKSWITCHINGSTATIONHERITAGE-WAKE.570,3ROCKY_115 KV_123A:L500.BrunswickSwitchingStationHeritage-Wake.570,3ROCKY 115KV - BATTLEBO 115KV (3ROCKY 115 KV 123A) | L500.BrunswickSwitchingStationHeritage-Wake.570
ESAYRE 115 KV ESAYRE-NWAVERLY 1058 TIE | L230.ETOWANDA-HILLSIDE.2002 [NYISO],ESAYRE_115 KV_ESA-ETO:L230.ETowanda-Hillside.2002 [NYISO],NWAVERLY 115KV - ESAYRE 115KV (ESAYRE 115 KV ESA-NWA) | L230.ETowanda-Hillside.2002 [NYISO]
NAMPTON_138KVNHA-SIE2_1_LN | ACTUAL,NAMPTON_138 KV_NHA-SIE2:ACTUAL,
CARL PN-GARDNERS 1049 B 115 KV | HUNTERSTOWN-TEXASEASTERN-GARDNERS (991) 115 KV LIN,CARL PN_115 KV_CAR-ROX:Hunterstown-TexasEastern-Gardners (991) 115 kV lin,CARL PN 115KV - GARDNERS 115KV (CARL PN 115 KV CAR-GAR) | Hunterstown-TexasEastern-Gardners (991) 115 kV lin
HINCHMAN_230KVHIN-JAC_1_LN | ACTUAL,HINCHMAN_230 KV_HIN-JAC:ACTUAL,
ALLLUD4J 138 KV ALLLUD4J-ALLDAM6 ALJ-ALL | ACTUAL,ALLLUD4J_138 KV_ALJ-ALL:ACTUAL,ALLLUD4J 138KV - ALLDAM6 138KV (ALLLUD4J 138 KV ALJ-ALL) | BASE
BIGPINET138 KV  BIG-GAR | L345.ERIEWEST-ASHTABULA-PERRY,BIGPINET_138 KV_BIG-GAR:L345.ErieWest-Ashtabula-Perry,GARRNJCT 138KV - BIGPINET 138KV (BIGPINET 138 KV BIG-GAR) | L345.ErieWest-Ashtabula-Perry
BAGLEY 230 KV BAGLEY -GRACETON BAG-GRA | L230.CONASTONE-NORTHWEST.2322,BAGLEY_230 KV_BAG-GRA:L230.Conastone-Northwest.2322,GRACETON 230KV - BAGLEY 230KV (BAGLEY 230 KV BAG-GRA) | L230.Conastone-Northwest.2322
PIERC_DK345 KV  PIE-PIE1 | L345.PIERCE-FOSTER,PIERC_DK_345 KV_PIE-PIE1:L345.Pierce-Foster,PIERCE 345KV - PIERC_DK 345KV (PIERC_DK 345 KV PIE-PIE1) | L345.Pierce-Foster
ETOWANDA 230 KV ETOWANDA-HILLSIDE 2002 TIE | L230.ETOWANDA-SCOTCHHOLLOW-GROVER-MARSHALL,ETOWANDA_230 KV_ETO-HIL:L230.ETowanda-ScotchHollow-Grover-Marshall,ETOWANDA 230KV - HILLSIDE 230KV (ETOWANDA 230 KV ETO-HIL) | L230.ETowanda-ScotchHollow-Grover-Marshall
BRAMBLET-EVRGREEN 2172B     A   230 KV | L230.PLEASNTVIEW-EDWARDSFERRY-DICKERSON.23111/203A,BRAMBLET_230 KV_BRA-EVRG:L230.PleasntView-EdwardsFerry-Dickerson.23111/203A,BRAMBLET 230KV - EVRGREEN 230KV (BRAMBLET 230 KV BRA-EVRG) | L230.PleasntView-EdwardsFerry-Dickerson.23111/203A
COMMODORE 345-230 XFMR 2 L/O PRAIRIE STATE-MT VERNON 345 | PRAIRIE STATE-W MT. VERNON 345,,Commodore 345-230 xfmr 2 l/o Prairie State-Mt Vernon 345 | Prairie State-W Mt. Vernon 345
PLEASNTV-ASHBURN 274D A 230 KV | L230.PLEASANTVIEW-BELMONT.2180,PLEASNTV_230 KV_274D:L230.PleasantView-Belmont.2180,PLEASNTV 230KV - ASHBURN 230KV (PLEASNTV 230 KV 274D) | L230.PleasantView-Belmont.2180
12 DRESD 345 KV 12 DRESDEN 45TR83 CT | ACTUAL,12 DRESD_345 KV_1222:ACTUAL,12 DRESDEN  45TR83 CT       H  345 KV | 345L1222 12_Dresden-900_Elwood 345 kV Line
DUPSEAFD-LAURELDP 6736 B 69 KV | 230/138.VIENNA.AT20,LAURELDP_69 KV_LAU-SHA:230/138.Vienna.AT20,DUPSEAFD-LAURELDP 6736      A  69 KV | 230/138.Vienna.AT20
BOSSERMN138 KV  BOS-BNI2 | ACTUAL,BOSSERMN_138 KV_BOS-BNI2:ACTUAL,
CRES DUQ 345 KV CRES DUQ T1 XFORMER | CLINTON (DUQ) 345/138 KV TRANSFORMER,CRES DUQ_345 KV_T1:Clinton (DUQ) 345/138 KV TRANSFORMER,CRES DUQ 345KV - CRES DUQ 138KV (CRES DUQ 345 KV T1) | Clinton (DUQ) 345/138 KV TRANSFORMER
CLIN DUQ 138 KV CLINTON-FINDLAY Z-34 | COLLIER - CLINTON (DUQ) 345 KV LINE,CLIN DUQ_138 KV_CLI-FIN:Collier - Clinton (DUQ) 345 KV LINE,CLIN DUQ 138KV - FINDLAY 138KV (CLIN DUQ 138 KV CLI-FIN) | Collier - Clinton (DUQ) 345 KV LINE
11 FISK 138 KV  TR75R 12 | ACTUAL,11 FISK_138 KV_TR75R 12:ACTUAL,11 FISK 138KV - 11 FISK 12KV (11 FISK 138 KV TR75R 12) | BASE
DANVILLE-EDANVILL B 138 KV | ACTUAL,EDANVILL_138 KV_EDA-BAN1:ACTUAL,DANVILLE-EDANVILL           B  138 KV | L500.Jacksons Ferry-Antioch (DUKE) Tie
SHENANGO-MASURY             A  138 KV | L345.NILES-SHENANGO,MASURY_138 KV_MAS-CRO1:L345.Niles-Shenango,SALTSPRG 138KV - MASURY 138KV (SALTSPRG 138 KV SAL-MAS1) | L345.Niles-Shenango
CONASTON_230KVCNS-NOR1_1_LN | ACTUAL,CONASTON_230 KV_CNS-NOR1:ACTUAL,
MIDDLJCT 115 KV MIDDLJCT-YORKHAVE 978-1 | L230.JACKSON-TMI.1051,MIDDLJCT_115 KV_MID-YOR7:L230.Jackson-TMI.1051,MIDDLJCT 115KV - YORKHAVE 115KV (MIDDLJCT 115 KV MID-YOR8) | L230.Jackson-TMI.1051
AMOS 765 KV AMOS 6 XFORMER | L765.CULLODEN-GAVIN,AMOS_765 KV_6:L765.Culloden-Gavin,AMOS     6        XFORMER   H  765 KV | L765.Culloden-Wyoming
HILLSBOR138 KV  HIL-WIL1 | ACTUAL,HILLSBOR_138 KV_HIL-WIL1:ACTUAL,
78_FRANK_138KV135031_1_LN | ACTUAL,78 FRANK     138-78 FRANK     138,
WESTGLOW138 KV  WES-WUR | L765.JACKSONSFERRY-CLOVERDALE + RELAY.FAIL,WESTGLOW_138 KV_WES-WUR:L765.JacksonsFerry-Cloverdale + Relay.Fail,WESTGLOW 138KV - WURNO 138KV (WESTGLOW 138 KV WES-WUR) | L765.JacksonsFerry-Cloverdale + Relay.Fail
ALLLUD4J_138KVALJ-ALL_1_LN | L138.KISKIVALLEY-BRACKENRIDGE-SHAFFERSCORNER,ALLLUD4J_138 KV_ALJ-ALL:L138.KiskiValley-AlleghenyLudlum2-ShaffersCorner,ALLLUD4J 138KV - ALLDAM6 138KV (ALLLUD4J 138 KV ALJ-ALL) | L138.KiskiValley-BrackenRidge-ShaffersCorner
108 LOCK 345 KV 108 LOCK-935 KEND 10805 | ACTUAL,108 LOCK_345 KV_10805:ACTUAL,935 KEND 345KV - 108 LOCK 345KV (108 LOCK 345 KV 10805) | BASE
ALLDAM6 138 KV ALLDAM6-KITTANNI SP-KT | L345.ERIEWEST-WAYNE.3004,ALLDAM6_138 KV_ALL-KIT:L345.ErieWest-Wayne.3004,ALLDAM6 138KV - KITTANNI 138KV (ALLDAM6 138 KV ALL-KIT) | L345.ErieWest-Wayne.3004
CHALKPT 500 KV CHALKPT 500-6T XFORMER | 500/230.CHALKPOINT.T5,CHALKPT_500 KV_500-6T:500/230.ChalkPoint.T5,CHALKPT 500KV - CHALKPT 230KV (CHALKPT 500 KV 500-6T) | 500/230.ChalkPoint.T5
DANVILLE-EDANVILL B 138 KV | L500.CLOVERDALE-LEXINGTON.566,EDANVILL_138 KV_EDA-BAN1:L500.Cloverdale-Lexington.566,DANVILLE 138KV - EDANVILL 138KV (DANVILLE 138 KV DAN-EDA1) | L500.Cloverdale-Lexington.566
ANACONDA115 KV  ANA-HART | ACTUAL,ANACONDA_115 KV_ANA-HART:ACTUAL,
